
sample_size-is-allNone		calc_illum-is-True	sample-is-None	try_linear-is-False
5	sample_size-is-allsdssuncorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN3-END	DO FITTING
5	sample_size-is-allsdssuncorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN4-START	SAVE CATALOGS/FITS/PLOTS
5	sample_size-is-allsdssuncorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN4b-START	MAKE nocorrected_data PLOTS with calcDataIllum (if sample != 'None' and "rand" not in sample_size)
5	sample_size-is-allsdssuncorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN4b-END	MAKE nocorrected_data PLOTS with calcDataIllum (if sample != 'None' and "rand" not in sample_size)
5	sample_size-is-allsdssuncorr__calc_illum-is-False__sample-is-sdss__try_linear-is-False 	 MAIN4-END	SAVE CATALOGS/FITS/PLOTS



5	sample_size-is-allsdssuncorr	calc_illum-is-False	sample-is-sdss	try_linear-is-False
1	sample_size-is-all		calc_illum-is-True	sample-is-sdss	try_linear-is-False
